No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7,Cas vague haute endémicité,Taux cas vague haute endémicité,Cas saison 2023-2024,Taux cas saison 2023-2024
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,n.d.,n.d.,86,639.45,20,149.05,26,193.77,764,5714.07,341,2559.48,341,2559.48,360,2711.25,199,1507.46
10,10 - Nord-du-Québec,,Total (incluant inconnus),14,103.86,96,713.81,20,149.05,29,216.13,801,5990.80,342,2566.99,343,2574.50,365,2748.91,201,1522.61
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,123,379.28,631,1930.99,142,431.28,151,458.62,1087,3289.65,890,2683.88,830,2502.94,1057,3176.85,361,1080.18
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,n.d.,n.d.,30,278.50,103,949.13,10,92.15,532,4899.61,365,3359.72,316,2908.69,493,4535.63,321,2956.35
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,13,68.86,434,2281.03,50,260.77,14,73.02,474,2462.91,637,3297.61,467,2417.56,548,2827.15,312,1601.89
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,30,188.21,398,2487.89,77,479.60,97,604.17,815,5073.93,749,4660.86,438,2725.58,631,3924.62,396,2464.91
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,9,70.42,33,255.36,16,122.46,10,76.53,472,3592.36,539,4079.62,276,2089.01,330,2484.57,128,956.83
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total (incluant inconnus),179,197.31,1532,1676.21,391,424.67,287,311.71,3394,3675.23,3190,3444.03,2341,2527.42,3066,3300.86,1521,1632.00
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,306,117.81,5870,2242.31,3664,1388.76,2053,778.15,15411,5806.41,5011,1876.81,3561,1333.73,5441,2026.26,2890,1065.22
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,32,74.35,1262,2918.39,467,1074.82,903,2078.30,4213,9660.07,1050,2398.57,697,1592.20,1143,2601.63,709,1604.58
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,32,43.68,3165,4317.02,2490,3393.71,2112,2878.52,6264,8515.21,1458,1976.84,988,1339.59,1704,2304.57,936,1259.44
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,8,48.25,422,2525.21,328,1947.40,407,2416.43,1214,7175.36,294,1729.92,195,1147.40,343,2009.61,231,1345.84
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,12,29.82,541,1338.35,509,1253.36,66,162.52,1973,4855.06,787,1935.33,558,1372.19,952,2339.61,593,1456.38
12,12 - Chaudière-Appalaches,,Total (incluant inconnus),393,90.79,11349,2606.11,7480,1707.35,5568,1270.93,29629,6731.64,8650,1956.19,6032,1364.13,9687,2180.99,5415,1209.54
13,13 - Laval,1311,1311 - RLS de Laval,4815,1087.41,19903,4492.84,5298,1195.42,7120,1606.53,27812,6245.26,5323,1189.58,5467,1221.77,8315,1850.15,4538,1001.36
13,13 - Laval,,Total (incluant inconnus),4898,1106.15,19918,4496.22,5304,1196.77,7126,1607.88,27893,6263.45,5333,1191.82,5474,1223.33,8420,1873.51,4608,1016.80
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,1224,542.12,6539,2853.09,806,346.51,1645,707.22,12310,5237.22,3006,1265.71,2741,1154.13,4735,1974.01,2894,1187.16
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,2174,727.89,9957,3311.82,2074,685.33,3360,1110.27,22002,7225.92,4195,1369.37,3552,1159.47,5626,1825.75,3157,1014.09
14,14 - Lanaudière,,Total (incluant inconnus),3472,662.02,16540,3121.69,2882,538.46,5011,936.23,34371,6370.48,7206,1325.02,6295,1157.51,10399,1897.58,6079,1095.14
